nombre,direccion,telefono,web,email,rating,reviews,categoria,ciudad,google_place_id
"La Tapeoteca Apóstoles | Restaurante Murcia","C. Apóstoles, 16, 30001 Murcia","+34 697 48 87 06","https://www.latapeoteca.es/%3Futm_source%3DGMB%26utm_medium%3DWEB%26utm_id%3DApostoles","","4.3","1412","restaurantes","Murcia","ChIJMWwApmKDYw0RAGuncjX7GDs"
"La Tía Juana Murcia","Pl. Preciosa, 4, 30008 Murcia","+34 868 48 00 26","https://latiajuanamx.com/reservas/","","4.4","3485","restaurantes","Murcia","ChIJ67Aol6SDYw0R8UY7y8JfKNo"
"Arrocería en Madrid Centro | El Caldero","C. de las Huertas, 15, Centro, 28012 Madrid","+34 914 29 50 44","http://www.elcaldero.com/","","4.1","2236","restaurantes","Madrid","ChIJ79q3zoEoQg0RxfNO56LFts0"
"Local de Ensayo","C. Fuensanta, 5, 30001 Murcia","+34 620 90 92 44","https://www.localdensayo.com/","","4.6","1210","restaurantes","Murcia","ChIJu7C1lmaCYw0RU46W1j5KlpU"
"La SuFrida - Restaurante Mexicano en Murcia","C. José García Martínez, 2, 30005 Murcia","+34 652 56 60 50","https://lasufrida.com/","","4.7","4892","restaurantes","Murcia","ChIJC0SztrODYw0Ro2qMTnfPaEI"
"El Togo II / Bares en Murcia","C. Jacobo de las Leyes, 8, 30001 Murcia","+34 968 90 62 24","https://baresenmurciaeltogo.jimdofree.com/","","4.4","3017","restaurantes","Murcia","ChIJYxYOHRqCYw0RslTYTuSxPLo"
"Restaurante Hispano","C. Radio Murcia, 4, 30001 Murcia","+34 968 21 61 52","http://www.restaurantehispano.es/","","4.5","1080","restaurantes","Murcia","ChIJ4bTDGBuCYw0Ro3pyV5hgbmU"
"La Tapeoteca San Pedro I Restaurante Murcia","Pl. de San Pedro, 3, 30004 Murcia","+34 663 72 40 59","https://www.latapeoteca.es/%3Futm_source%3DGMB%26utm_medium%3DWEB%26utm_id%3DSan%2BPedro","","4.2","1817","restaurantes","Murcia","ChIJ88H8Lh2CYw0RtGU4JjF5Ufs"
"Restaurante Keki","C. Fuensanta, 4, 30001 Murcia","+34 614 25 59 21","http://www.keki.es/","","4.5","1739","restaurantes","Murcia","ChIJSxOk3xqCYw0RO3QzWFWZRVc"
"El Pasaje de Belluga","Pl. del Cardenal Belluga, 5, 30001 Murcia","+34 968 21 55 36","","","4.2","1420","restaurantes","Murcia","ChIJ25nsThuCYw0R3w4IaY3UhNo"
"Steakburger | Hamburguesería Murcia","Gran Vía Alfonso X el Sabio, 14b, 30008 Murcia","+34 919 33 28 33","http://www.steakburger.es/%3Futm_source%3Dgmb%26utm_medium%3Dgmb%26utm_id%3Dweb","","4.6","2796","restaurantes","Murcia","ChIJBa7oOhmCYw0RrhOmrZRqTDM"
"Bodegón Los Toneles","C. Cánovas del Castillo, 7, 30003 Murcia","+34 968 21 02 05","https://familialostoneles.com/bodegon-los-toneles/","","4.4","1671","restaurantes","Murcia","ChIJs4i5sxqCYw0RdRr0-2c-6_g"
"Restaurante Por Herencia","En Plaza Sancho, C. Cánovas del Castillo, 9, 30003 Murcia","+34 868 97 46 00","https://familialostoneles.com/","","4.6","997","restaurantes","Murcia","ChIJX9kZqRqCYw0RDG4LFQmE5h8"
"La Bien Pagá","C. Sociedad, 1, 30004 Murcia","+34 968 93 26 26","https://www.labienpagagastro.com/","","4.3","1456","restaurantes","Murcia","ChIJN9jWpRyCYw0RBT90xKo4qSA"
"Pepa Restaurante","C. González Adalid, 13, 30001 Murcia","+34 968 21 36 46","https://peparestaurante.com/","","4.2","2561","restaurantes","Murcia","ChIJbfq4dxuCYw0R3a68SWqSiCk"
"Restaurante Asador Puerta de Murcia","Av. Río Madera, 30110 Churra, Murcia","+34 968 27 73 05","https://www.puertademurciarestaurante.es/","","4.2","3130","restaurantes","Churra","ChIJSY0fnlxsYw0RUtyILAL9nx0"
"El Secreto","Pl. de las Flores, 10, 30004 Murcia","+34 868 07 71 30","https://elsecretodelasflores.es/","","4.5","2747","restaurantes","Murcia","ChIJp7k4IB2CYw0R8xv4tHWYxew"
"Los Navarros","C. Simón García, 20, 30003 Murcia","+34 968 21 31 79","http://losnavarros.es/","","4.2","3356","restaurantes","Murcia","ChIJIyPGqhqCYw0RAwDm46nuKKw"
"La Gavacha","C. Gavacha, 2, 30004 Murcia","+34 868 95 50 38","http://www.restaurantelagavacha.com/","","4.5","1582","restaurantes","Murcia","ChIJL20tEh2CYw0ROQC-r9I_9pk"
"Perro Limón","Pl. San Juan, 6, 30003 Murcia","+34 722 65 10 57","https://www.marinea.es/restaurante/perro-limon/","","4.7","591","restaurantes","Murcia","ChIJt7dvp-WBYw0RO7Z1-DZqW24"
"Pizzería Mano a Mano","C. Teniente Gral. Gutierrez Mellado, 9, 30008 Murcia","+34 644 72 29 11","http://www.pizzeriamanoamano.es/","","4.6","5178","restaurantes","Murcia","ChIJVV6QmBmCYw0RwwudmEVY4Zo"
"Restaurante El Amarre Murcia","Pl. Mayor, 1, 30005 Murcia","+34 968 20 93 10","https://elamarremurcia.com/","","4.3","1176","restaurantes","Murcia","ChIJ-fnXfx2CYw0RmLdOcKfZJj0"
"La Bella Lola","Av. Alfonso X el Sabio, 2, 30008 Murcia","+34 868 81 18 77","http://www.labellalolatapas.com/","","3.8","599","restaurantes","Murcia","ChIJ5ePIvueDYw0R-_9YldR-ao8"
"Restaurante Real Casino de Murcia","C. Trapería, 22, 30001 Murcia","+34 968 22 28 09","http://www.restauranterealcasino.com/","","4.5","895","restaurantes","Murcia","ChIJH2BiEhuCYw0RfWt5POAteCg"
"Restaurante Torombolo Murcia","Pl. Hernández Amores, 3, 30001 Murcia","+34 633 23 75 36","https://www.restaurantetorombolo.com/","","4.8","81","restaurantes","Murcia","ChIJUROjQXSDYw0R6t_ibhqtZWE"
"Maldita Pasión - Gastro Lounge","Pl. del Rocío, 2, 30009 Murcia","+34 623 43 51 88","","","4.6","244","restaurantes","Murcia","ChIJ7WBrv7OBYw0RT5q0HOTLg-M"
"La Tapa","Pl. de las Flores, 13, 30004 Murcia","+34 968 21 13 17","https://latapadelasflores.es/","","4.3","7378","restaurantes","Murcia","ChIJb1HJIB2CYw0R91zYWD6p1WY"
"Polea","C. Almohajar, 2, bajo, 30002 Murcia","+34 614 14 69 78","https://polearestaurante.es/","","4.8","410","restaurantes","Murcia","ChIJKXnuAVyDYw0R3MBc-XsuLtY"
"El Pilón de la Negra","C. de Vicente Baeza, 2, 30006 Murcia","+34 606 67 87 36","http://www.elpilondelanegra.es/","","4.4","3095","restaurantes","Murcia","ChIJVRSEtoeDYw0RiGcUYN4wklQ"
"Frases","C. San Lorenzo, 5, Bajo Derecha, 30001 Murcia","+34 697 91 44 92","http://www.frasesrestaurante.com/","","4.7","539","restaurantes","Murcia","ChIJQ0hZrBqCYw0RzAifjPj4lFQ"
"Almo de Juan Guillamón","C. Madre de Dios, 15, 30004 Murcia","+34 868 06 95 57","https://almorestaurante.com/","","4.8","909","restaurantes","Murcia","ChIJQdZB0M6DYw0RZX9zFJkBjRg"
"Bar Los Zagales","C. Polo de Medina, 4, 30004 Murcia","+34 968 21 55 79","","","4.4","3898","restaurantes","Murcia","ChIJ90OMUBuCYw0R0wltvKg1r4Y"
"Fontana Restaurante en Murcia – Cocina Mediterránea – Cocina Tradicional","Calle Serrano Alcázar, 7, 30001 Murcia","+34 968 21 86 22","","","4.4","357","restaurantes","Murcia","ChIJgR5PmxuCYw0ROXz659Zc3Kc"
"Restaurante Mesón Pepe","C. Arquitecto Emilio Perez Piñero, 16, 30007 Murcia","+34 968 20 02 42","http://www.mesondepepe.es/","","4.6","1117","restaurantes","Murcia","ChIJPXBPnyKCYw0RQD3S5S2AweM"
"Enso Sushi","C. Sta. Teresa, 6, 30005 Murcia","+34 968 90 66 11","http://www.ensosushi.com/","","4.5","1528","restaurantes","Murcia","ChIJmYeovR2CYw0RaBusAlKP6sc"
"Monumental Restaurante","C. Barrionuevo, 2, 30001 Murcia","+34 968 72 70 60","http://www.monumentalrestaurant.com/","","4.1","2806","restaurantes","Murcia","ChIJF0gG4BqCYw0RD4_bfxcgyv0"
"Las Mulas","C. Ruipérez, 5, 30004 Murcia","+34 868 07 66 08","https://www.restaurantelasmulas.com/","","4.3","2963","restaurantes","Murcia","ChIJBx99Fx2CYw0R-ODXbWUs7Fg"
"Muchachicha","C. Frenería, 10, 30004 Murcia","+34 968 31 34 12","https://muchachicha.es/%3Futm_source%3DGMB%26utm_medium%3DWEB","","4.6","424","restaurantes","Murcia","ChIJZ-mJSzB_ZA0RS6Wo5p7o2IE"
"Restaurante Pecado","C. Frenería, 6, 30004 Murcia","+34 868 91 71 52","https://restaurantespecado.com/pecado-murcia/","","4.5","917","restaurantes","Murcia","ChIJq-zuTh2CYw0RIK3Flf4E4PU"
"UDON Murcia","C. San Cristobal, 3, 30001 Murcia","+34 868 10 25 95","https://www.udon.com/restaurante/udon-murcia","","4.6","2731","restaurantes","Murcia","ChIJL_daCBuCYw0Rx0qS3ETiRvE"
"Restaurante La Tartana","C. Puertas de Murcia, 14, 30201 Cartagena, Murcia","+34 968 50 00 11","https://www.grupocasatomas.es/la-tartana/","","4.1","1988","restaurantes","Cartagena","ChIJhRrOUC9CYw0R_TcpMhv04fk"
"Restaurante La Rocca Restaurante Mediterráneo","C. Suspiro, 8, 30310 Cartagena, Murcia","+34 868 78 08 70","","","4.7","253","restaurantes","Cartagena","ChIJgcCS3J1DYw0RrO-Xcu3gGrw"
"Restaurante Tikka","C. Félix Martí Alpera, 57, 30205 Cartagena, Murcia","+34 654 68 55 33","http://restaurantetikka.com/","","4.7","526","restaurantes","Cartagena","ChIJT9xgAPtDYw0RtA9DR6YnuZY"
"Saona Cartagena","C. Príncipe de Vergara, 2, 30202 Cartagena, Murcia","+34 868 61 18 40","https://www.gruposaona.com/restaurante/saona-cartagena/","","4.4","2041","restaurantes","Cartagena","ChIJ9SAb7vJDYw0RpKRTvMNd0MM"
"La Marquesita","Pl. Alcolea, 6, 30201 Cartagena, Murcia","+34 968 50 77 47","https://lamarquesita.net/","","4.4","2521","restaurantes","Cartagena","ChIJBWRe4iRCYw0Rf9bPDpDCCKQ"
"Restaurante Sacromonte","C. Monte San Juan, 1, 30394 Cartagena, Murcia","+34 968 53 53 28","http://restaurantesacromonte.es/","","4.5","2376","restaurantes","Cartagena","ChIJ46-qr_RCYw0RCbt6zWOXDq4"
"Restaurante Puerta 14","C. Prta de Murcia, 14, 30201 Cartagena, Murcia","+34 968 50 25 33","","","4.3","1003","restaurantes","Cartagena","ChIJ35zaTS9CYw0RdLvh9w0PNK8"
"Restaurante La Posada de Los Habaneros","Subida S. Jose, 30202 Cartagena, Murcia","+34 674 17 36 14","https://www.laposadadeloshabaneros.com/","","4.5","165","restaurantes","Cartagena","ChIJdfSrpJFBYw0RWom8Cap8rQ8"
"Restaurante A La Brasa","Pl. Juan XXIII, s/n, 30201 Cartagena, Murcia","+34 968 52 41 54","https://grupocasatomas.es/a-la-brasa/","","4.5","1238","restaurantes","Cartagena","ChIJq82O1yVCYw0RSRW1L6doe5I"
"Tasca Tío Andrés (Cartagena)","P.º Alfonso XIII, 46, 30203 Cartagena, Murcia","+34 968 52 44 44","http://www.tascatioandres.es/","","4.5","2598","restaurantes","Cartagena","ChIJC0EVt45BYw0RS4MiNidNkxM"
"Restaurante Tapería “El Cantón”","C. Cta. de la Baronesa, 1, 30202 Cartagena, Murcia","+34 630 85 17 43","https://elcantonbar.es/","","4.7","2189","restaurantes","Cartagena","ChIJuxQdIMZDYw0RHpaJFGqO-LA"
"El Trovador Cartagena","C. Guayaquil, 15, 30393 Cartagena, Murcia","+34 968 51 22 95","http://www.restaurantetrovador.es/","","4.5","4425","restaurantes","Cartagena","ChIJAQAAAMOcYw0Rmu7Cz6MQ-O8"
"Canales 5 Brasserie Moderne","C/ Canales, 5, 30201 Cartagena, Murcia","","http://www.canales5.es/","","4.7","378","restaurantes","Cartagena","ChIJvYgLIMtDYw0RYHHVACx40M0"
"Bar restaurante La Bistroteca","C. Prta de Murcia, 10, local, 30201 Cartagena, Murcia","+34 711 07 26 94","http://www.bistroteca.es/","","4.3","303","restaurantes","Cartagena","ChIJzyEASb9DYw0RAH0nPZvm8mo"
"Bar restaurante ALBEDRÍO","C. Villamartín, 5, 30201 Cartagena, Murcia","+34 637 64 50 75","http://www.albedrio.es/","","4.6","2224","restaurantes","Cartagena","ChIJFb6o5gpDYw0RvMBUl02fOm8"
"Mi Mare","C. Carlos III, 49, 30201 Cartagena, Murcia","+34 601 99 44 95","http://mimarecartagena.com/","","4.5","412","restaurantes","Cartagena","ChIJRz2U4jpDYw0R6CJ6DBfpyUI"
"Restaurante Magoga","Plaza Dr. Vicente García Marcos, 5, 30201 Cartagena, Murcia","+34 629 98 02 57","https://www.restaurantemagoga.com/","","4.6","1405","restaurantes","Cartagena","ChIJ4_jwCCdCYw0RMNUaOB3y0fo"
"Syrah Cartagena","C. Valle Inclán, 5, 30204 Cartagena, Murcia","+34 604 42 53 52","https://www.restaurantesyrah.com/","","4.9","56","restaurantes","Cartagena","ChIJm6XipOFDYw0RX_RF-eXHZnA"
"Alviento Restaurante (1r planta)","P.º Alfonso XII, 8, 30202 Cartagena, Murcia","+34 968 08 50 00","https://espacioalviento.com/","","3.8","1681","restaurantes","Cartagena","ChIJy5rOEwFDYw0RqIDER_qpFXo"
"La Fortaleza","C. Cañón, 7, 30202 Cartagena, Murcia","+34 676 32 60 93","","","4.5","317","restaurantes","Cartagena","ChIJm78PHClCYw0RIV_3xiS15Ws"
"La Cartela","C. Mayor, 41, 30201 Cartagena, Murcia","+34 968 20 27 23","https://www.grupocasatomas.es/la-cartela/","","4.2","1094","restaurantes","Cartagena","ChIJ2QG2zcFDYw0Rjwt4p-W4iCU"
"Mesón La Paloma","C. Postigos, 58, 30300 Cartagena, Murcia","+34 968 08 72 48","","","4.6","97","restaurantes","Cartagena","ChIJNcOWtCNDYw0R2zkN_R6qRHM"
"Maldita Cocina","C. Tomás Luis de Victoria, 4, 30393 Cartagena, Murcia","+34 968 31 12 18","http://www.malditacocina.com/","","4.9","467","restaurantes","Cartagena","ChIJe2ythSFDYw0Rr7dVQeMyWd8"
"Restaurante Casa Beltrí","Huerto de las Bolas, 2, 30310 Cartagena, Murcia","+34 968 10 30 55","http://www.casabeltri.es/","","4.3","621","restaurantes","Cartagena","ChIJFdAyOcRpYw0RGUfYuVRtcTg"
"El Paso de los Elefantes","Pl. Doña Juana la Loca, 6, 30205 Cartagena, Murcia","+34 968 31 12 71","http://www.elpasodeloselefantes.com/","","4.3","3333","restaurantes","Cartagena","ChIJy9u3VhNCYw0R-wIdRwAltgs"
"Restaurante Techos Bajos","C. Joaquín Madrid, 1, 30202 Cartagena, Murcia","+34 968 50 50 20","https://www.techosbajos.com/","","4.2","3321","restaurantes","Cartagena","ChIJjQjMsIVBYw0Rt5abaevkjNs"
"Maharani Restaurante Hindú Cartagena","C. Cañón, 5, 30202 Cartagena, Murcia","+34 968 52 64 12","https://www.maharani-restaurantehindu.com/","","4.7","378","restaurantes","Cartagena","ChIJnQ5o1-dDYw0RWEw-qi2HHcM"
"PITXÓN Restaurante Bar","C. Juan Fernandez, 34, 30204 Cartagena, Murcia","+34 605 45 76 34","","","4.5","208","restaurantes","Cartagena","ChIJ89lqWCZDYw0RiyR4DKKDOrQ"
"La Cerdanya","Subida al Plan, 5, 30310 Cartagena, Murcia","+34 968 31 15 78","https://restaurantelacerdanya.es/","","4.6","297","restaurantes","Cartagena","ChIJewSju9lpYw0Rgkh2i9Rzx2M"
"Restaurante D'almansa","Calle Jabonerías, 53, 30201 Cartagena, Murcia","+34 868 09 96 66","http://www.dalmansarestaurante.com/","","3.9","866","restaurantes","Cartagena","ChIJr2bUcyVCYw0RZtuMBrOdVkM"
"Parrillada El Charru","Paraje Media Legua, 3, 30392 Cartagena, Murcia","+34 616 35 72 26","","","4.6","778","restaurantes","Cartagena","ChIJfaVyxo1BYw0RudtZgF_88_M"
"Mesón La Taberna de Rafael","C. Floridablanca, 7, 30310 Cartagena, Murcia","+34 868 06 34 72","","","4.5","853","restaurantes","Cartagena","ChIJSZs-ht9pYw0Rn87AODThKuo"
"Restaurante El Gato","Carr. de Mazarrón, 36, 30310 Cartagena, Murcia","+34 637 10 13 34","","","4.4","785","restaurantes","Cartagena","ChIJ4dnKtGVCYw0RLDXVQwoRCVg"
"Restaurante Cuarenta y tres 43","P.º Alfonso XII, 30201 Cartagena, Murcia","+34 868 45 13 02","https://cuarentaytres.com/","","4.5","1071","restaurantes","Cartagena","ChIJ1_Wq35JDYw0RL501PbgDWeA"
"Bodega La Fuente","C. Jara, 27, 30201 Cartagena, Murcia","+34 868 04 73 22","","","4.2","3658","restaurantes","Cartagena","ChIJKdsBlihCYw0RM5Dtglx6qUo"
"Nuestra Tradición / Restaurantes en Cartagena","C. Honda, 5, 30201 Cartagena, Murcia","+34 968 06 36 07","https://elabastotradicion.es/","","3.8","1300","restaurantes","Cartagena","ChIJ652EsShCYw0RoFy6xulkqtU"
"La Malaka Cafe","Calle Dr. Luis Calandre, 30, 30205 Cartagena, Murcia","+34 624 60 25 75","http://www.lamalaka.com/","","4.5","769","restaurantes","Cartagena","ChIJj4m-d_JDYw0RqQ31HOtp6NM"
"El Pincho de Castilla","C. Jiménez de la Espada, 53, 30203 Cartagena, Murcia","+34 968 50 89 87","http://restauranteelpinchodecastilla.es/","","4.3","1396","restaurantes","Cartagena","ChIJVbnU0iZCYw0R89Athrf5M8w"
"Marisquería Freiduría La Marina","C. Santiago, 11, 30202 Cartagena, Murcia","+34 868 05 68 52","https://www.facebook.com/lamarinasantalucia","","4.4","6216","restaurantes","Cartagena","ChIJPZ92TptBYw0RtxeObsvj_Cw"
"Restaurante Eszencia","Auditorio el Batel, Planta 1, 30201 Cartagena, Murcia","+34 968 52 39 59","http://eszencia.es/","","4.1","509","restaurantes","Cartagena","ChIJAZgXqfdBYw0RRs9RMTq21b0"
"La Mar Salá","Alameda de San Antón, 30, 30205 Cartagena, Murcia","+34 968 10 77 86","","","4.2","526","restaurantes","Cartagena","ChIJ33TaGj1CYw0RgMw_R_1d24g"
"Las Termas del Pincho | Bar Restaurante en Cartagena","EDIFICIO TRAZADO, C. Honda, 9, 30201 Cartagena, Murcia","+34 968 12 15 94","","","4.2","2346","restaurantes","Cartagena","ChIJexacuihCYw0RijsqFgzucfk"
"Delicia Tropical","Calle Rda., 12, 30201 Cartagena, Murcia","+34 968 08 64 93","","","4.4","891","restaurantes","Cartagena","ChIJd3hHVCRCYw0Rgk6mLCyz19I"
"El Viejo Almacen","C. Campos, 13, 30201 Cartagena, Murcia","+34 968 50 63 00","https://www.elviejoalmacenrestaurante.com/","","4.1","1671","restaurantes","Cartagena","ChIJDfYVYChCYw0RDJ_tLmtoNwE"
"Restaurante Varadero","frente a la Lonja de pescado, Pl. de la Isla, S/N, 30202 Cartagena, Murcia","+34 968 50 58 48","https://restvaraderocartagena.com/","","3.9","1154","restaurantes","Cartagena","ChIJyQlu9thpYw0RXX80881QNqs"
"Restaurante Cotton Grill","C. Puertas de Murcia, 11, 30201 Cartagena, Murcia","+34 968 08 22 20","http://www.cottongrill.es/","","4.2","1784","restaurantes","Cartagena","ChIJLZHoWy9CYw0RXwgWJcx_m8Y"
"Restaurante Lebeche","C. Turín, 5, 30319 Cartagena, Murcia","+34 868 24 92 66","https://restaurantelebeche.es/","","4.8","706","restaurantes","Cartagena","ChIJXUIhlaRpYw0RexzE0oP0z34"
"Mugarum KÓMO KOMO / Exquisito y Saludable","C. Pintor Balaca, 56, 30203 Cartagena, Murcia","+34 868 06 67 24","http://www.mugarumrestaurante.es/","","4.3","237","restaurantes","Cartagena","ChIJI-dlJyFCYw0RQY-fK5ubpW0"
"Mesón El Galgo","C. Jorge Juan, 18, 30204 Cartagena, Murcia","+34 968 51 39 05","","","4.1","1263","restaurantes","Cartagena","ChIJY0gkRRhCYw0RB4SuYhzCkoo"
"Chanquete","C. Pintor Balaca, 1, 30205 Cartagena, Murcia","+34 968 12 04 03","","","4.2","607","restaurantes","Cartagena","ChIJ34P4rjxCYw0RlvKuecc2I7c"
"El laurel de lorca 2024","C/ martinez blanco, 2, 30800 Lorca, Murcia","+34 687 87 11 95","http://www.restauranteellaurel.com/","","4.4","198","restaurantes","Lorca","ChIJgwIjFkHnZA0Rubkk2Y4YfF8"
"Restaurante Román","Av. de la Salud, 5, 30800 Lorca, Murcia","+34 675 82 06 26","https://restauranteroman.wixsite.com/website-7","","4.5","201","restaurantes","Lorca","ChIJTVCqd67nZA0RvrNAPYolQ6k"
"Taj Mahal Tandori Restaurante Hindú","Alameda de Cervantes, 28, 30800 Lorca, Murcia","+34 968 92 69 40","https://www.tajmahal-tandoori.com/","","4.5","486","restaurantes","Lorca","ChIJM92UJbXnZA0R4arLg_n_r7E"
"BANGALORE Lorca","C. Musso Valiente, 2, 30800 Lorca, Murcia","+34 610 70 83 27","https://bangaloregrupo.com/lorca","","4.6","156","restaurantes","Lorca","ChIJM2FNjdjnZA0RQULDhG-wDek"
"LA ALACENA by Braulio Cantero","Plaza arcoíris, n 5, 30800 Lorca, Murcia","+34 653 10 08 71","","","4.4","235","restaurantes","Lorca","ChIJKbSgQSTnZA0RpwB6cDM5S8A"
"Taberna La Cepa","Pl. Abastos, 13, 30800 Lorca, Murcia","+34 968 07 65 96","https://tabernalacepa.com/","","4.4","453","restaurantes","Lorca","ChIJf-NBhEfmZA0Rl0fD0Rnt7S8"
"Restaurante Polonia","Av de las Fuerzas Armadas, 56, 30800 Lorca, Murcia","+34 968 46 74 25","https://www.murciaturistica.es/es/restaurante/bar-rte-polonia-3491/","","4.5","1562","restaurantes","Lorca","ChIJa3tmSzrmZA0Rw50gYE1Np0Q"
"AXO Restaurante","C. Corredera, 32, 30800 Lorca, Murcia","+34 623 35 58 93","http://axo-restaurante.eatbu.com/","","4.6","104","restaurantes","Lorca","ChIJ7Z-9JcjnZA0RveYnF_Z59FA"
"Restaurante Paredes","Bajada del, Carretera Granada, Carr. Hospital Rafael Méndez, KM 588, 30800 Lorca, Murcia","+34 626 27 77 25","http://restauranteparedes.net/","","4.6","357","restaurantes","Lorca","ChIJSUAI4W7nZA0R0PiT1Cjt7RQ"
"Casa de los Musso, Mesón Restaurante","Antiguos Almacenes Bertrand, C. Pío XII, 13, 30800 Lorca, Murcia","+34 628 61 18 72","https://www.casadelosmusso.es/","","4.3","972","restaurantes","Lorca","ChIJO_uDFEnmZA0R61abIdczgNM"
"Días de Vino y Rosas","Pl. Don Juan Moreno, 30800 Lorca, Murcia","+34 633 41 68 82","","","4.8","109","restaurantes","Lorca","ChIJ4WDekSTnZA0REZiuktJ7SC0"
"Restaurante La Reina de Lorca","Av. Juan Carlos I, 81, 30800 Lorca, Murcia","+34 632 80 17 88","","","4.6","10","restaurantes","Lorca","ChIJHyxmTQDnZA0RSjfwlN4-1qc"
"Restaurante Ciudad del Sol","Ctra. de Granada, 173, 30817 Lorca, Murcia","+34 968 46 02 52","","","4.4","1517","restaurantes","Lorca","ChIJATh6dm7nZA0Rdhbhh6CJavQ"
"Bar restaurante El Sibarita","C. Fiscal Martinez Blanco, bajo 4, 30800 Lorca, Murcia","+34 868 10 54 53","https://restaurantesibarita.com/","","4.5","726","restaurantes","Lorca","ChIJ13O38UvmZA0ReVa2cM5qlsU"
"Mesón Lorquino - Restaurantes Lorca","Alameda de Menchirón, 1, 30800 Lorca, Murcia","+34 968 44 28 76","https://www.instagram.com/mesonlorquino/","","4.2","744","restaurantes","Lorca","ChIJkyDHAf7nZA0RbgdjNN7CRmw"
"Restaurante Tapería Ventarique","Calle Horno, 100, 30800 Lorca, Murcia","+34 609 97 49 18","","","4.3","482","restaurantes","Lorca","ChIJ06Y2wjLmZA0RqYjytDzmV1U"
"Restaurante La Copla","Cam. Cartagena, 74, 30800 Lorca, Murcia","+34 968 46 94 20","https://www.restaurantelacopla.es/es/","","4.5","320","restaurantes","Lorca","ChIJHW_SG7DpZA0RgEPG_Npu-O8"
"Restaurante Nº3","Calle Paso Blanco, 30800 Lorca, Murcia","+34 868 08 64 50","","","4.3","47","restaurantes","Lorca","ChIJqfsMAMvnZA0ROhVggQATcVk"
"Las Caballerizas del Castillo de Lorca","E-15, 594, 30800 Lorca, Murcia","+34 968 95 96 46","http://lorcatallerdeltiempo.es/bensakar/bar_cafeteria","","4.2","781","restaurantes","Lorca","ChIJUZWRU1DmZA0Ri62Wbpn2qLU"
"Restaurante Venta Cristóbal","Autovía de Murcia, S/N, 30800 Tercia, Murcia","+34 968 46 69 03","http://www.ventacristobal.es/","","4.5","671","restaurantes","Tercia","ChIJATv8AZnoZA0RwD05nP5Iezg"
"Casa Tere - antigua Taberna del Buda","Av. Portugal, 8, 30800 Lorca, Murcia","+34 643 77 82 29","https://www.budabarlorca.com/","","4.2","367","restaurantes","Lorca","ChIJM98MgEvmZA0Rz87bfD4aRrQ"
"Las Torres","C. Cam. Viejo del Puerto, S/N, 30800 Murcia","+34 968 47 08 47","","","4.3","823","restaurantes","Murcia","ChIJdUwpJbLnZA0RomNQdzyWBb4"
"Baviera","Plaza de los Oficios, s/n, 30800 Lorca, Murcia","+34 968 44 35 99","","","4.4","326","restaurantes","Lorca","ChIJc70T7q7nZA0REsK3ry5Bzlw"
