Nombre,Email,Teléfono,Web,Dirección,Categoría,Ubicación,Rating,Reviews
"Cosa Fina GastroBar","info@cosafinagastrobar.com","+34 615 03 58 63","http://www.cosafinagastrobar.com/","Pl. de laPuxmarina, 2, Planta Baja, 30004 Murcia, España","restaurantes","Murcia",4.5,1605
"Restaurante Por Herencia","","+34 868 97 46 00","https://familialostoneles.com/","En Plaza Sancho, C. Cánovas del Castillo, 9, 30003 Murcia, España","restaurantes","Murcia",4.6,997
"La Gavacha","","+34 868 95 50 38","http://www.restaurantelagavacha.com/","C. Gavacha, 2, 30004 Murcia, España","restaurantes","Murcia",4.5,1582
"Almo de Juan Guillamón","","+34 868 06 95 57","https://almorestaurante.com/","C. Madre de Dios, 15, 30004 Murcia, España","restaurantes","Murcia",4.8,909
"Clínica Herrero - Varices y Medicina Estética","","+34 629 37 27 26","/url?q=http://www.doctorherrero.es/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gI8gMoDw&usg=AOvVaw0V2XID15bXsHNgvV8GAZoW","C. las Norias, 8, 5º A, 30009 Murcia, España","médicos","Murcia",4.8,60
"Polea","","+34 614 14 69 78","https://polearestaurante.es/","C. Almohajar, 2, bajo, 30002 Murcia, España","restaurantes","Murcia",4.8,410
"MUNAI Restaurante Argentino","","+34 648 75 91 42","https://linktr.ee/RESTAURANTEMUNAI","C. Reina Sofía, 7, 30007 Murcia, España","restaurantes","Murcia",4.7,518
"Proctólogo Dr. José Luis Paredes Campillo - Tratamiento de hemorroides en Murcia","","+34 968 90 51 76","/url?q=http://medicoproctologo.com/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gIlQQoDw&usg=AOvVaw0oz32fQ706trOd3UJildkc","Ronda Norte, 9, 30009 Murcia, España","médicos","Murcia",5,10
"La SuFrida - Restaurante Mexicano en Murcia","","+34 652 56 60 50","https://lasufrida.com/","C. José García Martínez, 2, 30005 Murcia, España","restaurantes","Murcia",4.7,4888
"Clinica de Coloproctologia","","+34 968 20 45 57","/url?q=https://www.clinicadecoloproctologia.es/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gItgQoEQ&usg=AOvVaw2A83-hZ75Gmr8weH6p5ksO","Edificio Alba, Av. de la Libertad, 8, 30009 Murcia, España","médicos","Murcia",4.9,90
"Pizzería Mano a Mano","","+34 644 72 29 11","http://www.pizzeriamanoamano.es/","C. Teniente Gral. Gutierrez Mellado, 9, 30008 Murcia, España","restaurantes","Murcia",4.6,5178
"Restaurante Torremolinos","","+34 968 24 74 81","https://torremolinosrestaurante.com/","Ctra. de Churra, 113, 30110 Churra, Murcia, España","restaurantes","Murcia",4.4,5323
"Restaurante Keki","","+34 614 25 59 21","http://www.keki.es/","C. Fuensanta, 4, 30001 Murcia, España","restaurantes","Murcia",4.5,1739
"Doctor Javier Hernández López, Traumatólogo","","+34 694 21 65 59","/url?q=https://javierhernandeztraumatologia.es/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gI1wQoDw&usg=AOvVaw0phuULi9Ksw0eW4VCrHsdo","C. Pasos de Santiago, 6, Bajo, 30005 Murcia, España","médicos","Murcia",4.9,51
"Colegio Oficial de Médicos de Murcia. Sede en Cartagena","","+34 968 50 56 29","","Pl. del Rey, 8, 30201 Cartagena, Murcia, España","médicos","Murcia",4,4
"El Pasaje de Zabálburu","pasajedezabalburu@gmail.com","+34 622 62 21 67","http://el-pasaje-de-zabalburu.eatbu.com/","Pl. de San Pedro, 3, 30004 Murcia, España","restaurantes","Murcia",4.4,1829
"La Tapeoteca San Pedro I Restaurante Murcia","","+34 663 72 40 59","https://www.latapeoteca.es/?utm_source=GMB&utm_medium=WEB&utm_id=San+Pedro","Pl. de San Pedro, 3, 30004 Murcia, España","restaurantes","Murcia",4.2,1817
"Lionza","info@lionza.es","+34 665 51 81 34","https://lionza.es/","C. Ruipérez, 3, 30005 Murcia, España","restaurantes","Murcia",4.8,346
"Restaurante Mesón Pepe","","+34 968 20 02 42","http://www.mesondepepe.es/","C. Arquitecto Emilio Perez Piñero, 16, 30007 Murcia, España","restaurantes","Murcia",4.6,1117
"Restaurante Rincón de Pepe","eventos@orenesgrupo.com","+34 610 99 99 99","https://www.restauranterincondepepe.com/","C. Apóstoles, 34, 30001 Murcia, España","restaurantes","Murcia",4.3,1371
"El Togo II / Bares en Murcia","","+34 968 90 62 24","https://baresenmurciaeltogo.jimdofree.com/","C. Jacobo de las Leyes, 8, 30001 Murcia, España","bares","Murcia",4.4,3017
"Bar Los Zagales","","+34 968 21 55 79","","C. Polo de Medina, 4, 30004 Murcia, España","bares","Murcia",4.4,3898
"Leyendas","","+34 625 86 34 00","http://www.barleyendas.es/","C. Corregidor Pueyo, 2, 30007 Murcia, España","bares","Murcia",4.6,1264
"La Tapeoteca Apóstoles | Restaurante Murcia","","+34 697 48 87 06","https://www.latapeoteca.es/?utm_source=GMB&utm_medium=WEB&utm_id=Apostoles","C. Apóstoles, 16, 30001 Murcia, España","bares","Murcia",4.3,1411
"A'rocha Café - Tapas - Bar","","","","C. San Nicolás, 2, 30005 Murcia, España","bares","Murcia",4.9,333
"La Ronería y La Gintonería","","+34 968 90 00 05","https://www.la-roneria-y-la-gintoneria.com/","C. Cánovas del Castillo, 17, 30003 Murcia, España","bares","Murcia",4.4,777
"Las Flores Bar","","","https://www.facebook.com/lasfloresbarmurcia","C. Sta. Isabel, 5, 30004 Murcia, España","bares","Murcia",4.4,1547
"Touché","","+34 671 25 26 97","","C. Victorio, 1, 30003 Murcia, España","bares","Murcia",4.5,504
"El Albergue. Cóctel bar. - Murcia","","+34 611 19 11 37","","C. Vara de Rey, 19, 30001 Murcia, España","bares","Murcia",4.5,211
"Clínica Londres | Cirugía y Medicina Estética","","+34 968 27 51 57","https://www.clinicalondres.es/clinicas/murcia","Av. Juan Carlos I, 21, 30008 Murcia, España","clínicas","Murcia",4.8,866
"Bodegón Los Toneles","","+34 968 21 02 05","https://familialostoneles.com/bodegon-los-toneles/","C. Cánovas del Castillo, 7, 30003 Murcia, España","bares","Murcia",4.4,1671
"La Uva Jumillana de Murcia","","+34 868 07 85 32","https://www.facebook.com/pages/La-Uva-Jumillana-Murcia/959944727406325","C. Balsas, 10, 30009 Murcia, España","bares","Murcia",4.1,441
"Bar La Toga / Bares en Murcia","eltogoinfo@gmail.com","+34 868 94 08 95","https://eltogo.eatbu.com/?lang=es","Pl. de la Universidad, 1, 30001 Murcia, España","bares","Murcia",4.3,1377
"La Isla Beer Club","","","http://www.laislabeerclub.es/","Pl. Sta. Eulalia, 8-10, 30003 Murcia, España","bares","Murcia",4.6,388
"Clinica Doctor del Pino Murcia","","+34 868 45 54 24","https://doctordelpino.es/","Ronda Norte, 3, 30009 Murcia, España","clínicas","Murcia",5,82
"La Cueva del Oso","","+34 968 24 37 36","https://www.facebook.com/cuevadelosomurcia/","C. Alejandro Seiquer, 18, 30001 Murcia, España","bares","Murcia",4.4,704
"La Tapa","info@latapa.com","+34 968 21 13 17","https://latapadelasflores.es/","Pl. de las Flores, 13, 30004 Murcia, España","bares","Murcia",4.3,7376
"Bar Paco","","+34 653 16 94 51","","C. Pintor Pablo Picasso, 8, 30010 Murcia, España","bares","Murcia",4.3,1179
"Minibar Murcia","","","","C. González Adalid, 9, 30001 Murcia, España","bares","Murcia",4.7,92
"Trocadero","","+34 633 70 92 92","","Pl. de la Universidad, 2, 30001 Murcia, España","bares","Murcia",4.4,668
"Monalisa Clínicas","","+34 968 73 10 99","https://monalisaclinicas.com/","C. González Adalid, nº 15, Bajo, 30001 Murcia, España","clínicas","Murcia",4.8,320
"Clínicas Velvet Murcia","","+34 664 35 23 99","","Ronda Norte, 30009 Murcia, España","clínicas","Murcia",4.6,153
"CafeLab","","+34 868 24 61 90","http://cafelab.es/","C. Apóstoles, 14, 30001 Murcia, España","cafeterías","Murcia",4.5,5123
"Mariantonietta Cafe","","+34 868 16 59 44","http://www.facebook.com/mariantoniettacafe","C. Simón García, 49, 30003 Murcia, España","cafeterías","Murcia",4.5,602
"Drexco","","+34 968 21 95 95","http://www.drexco.es/","C. Trapería, 26, 30001 Murcia, España","cafeterías","Murcia",4.3,2110
"Café milano desde 1996","","","https://cafemilanomurcia.com/","C. Abenarabi, 4, 30008 Murcia, España","cafeterías","Murcia",4.6,565
"Cafetería Buencafé","","+34 678 67 74 70","","P.º de Garay, 11, 30003 Murcia, España","cafeterías","Murcia",4.9,294
"Café de Ficciones","","+34 660 63 25 69","","esquina C/ Correos, C. Fuensanta, 5, 30001 Murcia, España","cafeterías","Murcia",4.5,635
"Aztekum","","+34 968 05 09 76","https://instagram.com/aztekum?utm_medium=copy_link","C. Mariano Padilla, 10, 30003 Murcia, España","cafeterías","Murcia",4.7,520
"Drexco Gran Vía","","+34 868 91 21 19","http://www.drexco.es/","C. Almudena, 3, 30005 Murcia, España","cafeterías","Murcia",4.1,1407
"Podoactiva Murcia","podoactivamurcia@podoactiva.com","+34 968 21 54 03","https://www.podoactiva.com/es/clinicas-y-centros/podoactiva-murcia","C. Alejandro Seiquer, 15, 30001 Murcia, España","clínicas","Murcia",4.7,271
"Clínica Dra. Ana de León Murcia","info@clinicasanadeleon.es","+34 611 58 77 32","https://clinicasanadeleon.es/","Av. de la Constitución, 13, 1º D, 30008 Murcia, España","clínicas","Murcia",4.9,47
"Clínica Esquivel Murcia","","+34 621 23 17 15","https://clinicasesquivel.com/","Av. General Primo de Rivera, 17, 30008 Murcia, España","clínicas","Murcia",4.7,35
"Clínica Bellezone","","+34 968 29 00 30","https://www.instagram.com/clinicasbellezone/","C. Condestable, 2, Entresuelo izq, 30009 Murcia, España","clínicas","Murcia",4.8,219
"Clínica Condestable Murcia","","+34 868 70 27 22","http://www.clinicacondestable.es/","Pl. Condestable, 5, 30009 Murcia, España","clínicas","Murcia",4.4,7
"Detroit Hacienda “Más Que Desayunos”","","+34 968 97 60 25","http://www.detroitmasquedesayunos.com/","Av. Juan Pablo II, n17, 30007 Murcia, España","cafeterías","Murcia",4.7,1332
"Café Moderno","","+34 968 43 61 08","","Gran Vía Alfonso X el Sabio, 2, 30008 Murcia, España","cafeterías","Murcia",4.1,783
"Bangles Cafetería","","","","C. Alhambra, 9, 30011 Murcia, España","cafeterías","Murcia",4.7,283
"Socolá","","+34 868 97 25 89","http://www.socola.es/","Calle Mariano Vergara, 5, 30003 Murcia, España","cafeterías","Murcia",4.5,2134
"Café-bar El Sur","","+34 968 21 87 55","","C. Montijo, 7, 30001 Murcia, España","cafeterías","Murcia",4.6,498
"Kawaii Café Murcia","","","http://www.kawaiicafe.es/","C. Alejandro Seiquer, 2, 30001 Murcia, España","cafeterías","Murcia",4.9,78
"Café del Arco","","+34 628 11 15 73","https://cafedelarco.es/","Calle Arco de Santo Domingo, 1, 30001 Murcia, España","cafeterías","Murcia",3.8,1419
"Café de Alba","","+34 629 82 77 23","https://es-es.facebook.com/Caf%C3%A9-de-Alba-572556496088741/","C. San Antón, 2, 30009 Murcia, España","cafeterías","Murcia",4.5,1096
"Bar Culturas","","","http://www.barculturas.es/","Carril Acequia de Alguazas, 34, 30012 San Benito - Progreso, Murcia, España","cafeterías","Murcia",4.2,3238
"Itaca","","+34 968 28 00 07","","Calle Mariano Vergara, 6, Bajo, 30003 Murcia, España","cafeterías","Murcia",4.6,635
"La Gatera - Cat Café","info@lagateracatcafe.com","+34 622 56 62 07","http://lagateracatcafe.com/","C. Vara de Rey, 8, 30001 Murcia, España","cafeterías","Murcia",4.6,720
"Cafetería Coliseum","","+34 699 64 92 84","","C. Juan Ramón Jiménez, 42, 30006 Murcia, España","cafeterías","Murcia",4.5,581
"Aura Clínicas","atencion@auraclinica.com","+34 868 11 09 00","https://www.auraclinica.com/","Av. Miguel de Cervantes, 45, 30009 Murcia, España","clínicas","Murcia",4.6,316
"Clínica de Injerto Capilar en Murcia y Cartagena | INJERMUR","","+34 968 35 57 67","https://injertocapilarenmurcia.es/","C. Olof Palme, 9, 11, 30009 Murcia, España","clínicas","Murcia",5,23
"Pizzería Cafetería Pintada","","+34 680 21 90 20","/url?q=https://m.facebook.com/arenal3pintada&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIaygP&usg=AOvVaw06H4Ht3C1-IUgsuFA1nGoy","C. Arenal, 3, 30011 Murcia, España","pizzerías","Murcia",4.7,1063
"Clínica Novovisión Murcia","info@clinicasnovovision.com","+34 968 20 08 88","https://www.clinicasnovovision.com/","Av. de la Libertad, 4, 30008 Murcia, España","clínicas","Murcia",4.8,349
"Pizzería La Piccola Julia","","+34 603 10 12 55","/url?q=https://pizzerialapiccolajulia.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gInQEoEQ&usg=AOvVaw0w1O7wocPcF-nNcH94YQsG","P.º Duques de Lugo, 14, bajo, 30009 El Ranero, Murcia, España","pizzerías","Murcia",4.6,456
"Clínica Clemente | Dermatología, Láser y Medicina estética","info@clinicaclemente.es","+34 968 20 00 23","https://www.clinicaclemente.es/","Av. Europa, 23-25, bajo, 30007 Murcia, España","clínicas","Murcia",4.8,519
"Pizzería La Góndola","","+34 968 21 82 48","/url?q=https://www.just-eat.es/restaurants-la-gondola-murcia/menu&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIxAEoDw&usg=AOvVaw258Fr2nxOwF4m4wLTX1Khx","C. Saavedra Fajardo, 5, 30001 Murcia, España","pizzerías","Murcia",4.3,1750
"Oven Mozzarella | Pizzeria Murcia","","+34 911 33 07 45","/url?q=http://www.oven.es/%3Futm_source%3DGMB%26utm_medium%3Dgmb%26utm_campaign%3Dgmb%26utm_id%3Dweb&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gI8wEoDw&usg=AOvVaw0LgQUqzHkj3yXl8V1Ua1gR","Pl. Julián Romea, 5, 30001 Murcia, España","pizzerías","Murcia",4.4,1888
"Clínica Lorents","","+34 682 93 89 11","https://www.clinicalorents.es/","Av. Francisco Jiménez Ruiz, 9, 30007 El Puntal, Murcia, España","clínicas","Murcia",5,77
"Clínica Belsia","","","","C. Teniente Gral. Gutierrez Mellado, 9, Centro Comercial Centrofama 1º Planta, 30008 Murcia, España","clínicas","Murcia",5,13
"Restaurante Mondo Italiano","","+34 968 90 02 75","/url?q=https://mondoitaliano.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIngIoDw&usg=AOvVaw0788GjHR4bXqV4zHAHAoq2","C. Miguel Hernández, 2, 30011 Murcia, España","pizzerías","Murcia",4.3,1788
"Como en Napoli","","+34 621 29 08 56","/url?q=https://comoennapoli.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIyAIoDw&usg=AOvVaw0h8GjoSsGY_4XOFHjb8SGF","C. San Pedro, 7, 30004 Murcia, España","pizzerías","Murcia",4.9,615
"Clínica Dorsia Cirugía y Medicina Estética","","+34 968 23 26 90","https://www.dorsia.es/clinicas-dorsia/murcia-constitucion/?utm_campaign=noviembre24&utm_content=sitio-web-gmb&utm_medium=gmb&utm_source=fichadegoogle","Av. de la Constitución, 8, 30008 Murcia, España","clínicas","Murcia",4.6,424
"Grosso Napoletano","","+34 868 12 79 61","/url?q=https://www.grossonapoletano.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gI8wIoDw&usg=AOvVaw262x-AgX5lGn54gdwZJ1Iw","Pl. Sta. Catalina, 1, 30004 Murcia, España","pizzerías","Murcia",4.3,977
"Artemédica","dpo@artemedica.es","+34 968 20 12 22","http://artemedica.es/","P.º Fernández Caballero, 3, 30007 Santiago y Zaraíche, Murcia, España","clínicas","Murcia",4.9,603
"Via Torino","","+34 968 90 55 35","/url?q=https://viatorino.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIpgMoDw&usg=AOvVaw12E8JUEvA-UjSimQWzJc4O","C. Frenería, 9, 30004 Murcia, España","pizzerías","Murcia",4.3,1643
"Pizzería Mano a Mano","","+34 644 67 71 51","/url?q=http://www.pizzeriamanoamano.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gI4wMoEQ&usg=AOvVaw3p_k4-i4iuqKfQKZxp1ZxD","P.º Misionero Luis Fontes Servet, 3, 30007 El Puntal, Murcia, España","pizzerías","Murcia",4.6,1832
"Fisioterapia Osteopatía Pilates Peñarrubia ✅","","+34 968 96 71 63","https://www.fisioterapeutasmurcia.com/","Av. Don Juan de Borbon, 36, 30007 Santiago y Zaraíche, Murcia, España","fisioterapeutas","Murcia",5,834
"Fisioterapia Osteopatía Pilates Peñarrubia San Antón ✅","","+34 868 96 68 36","https://www.fisioterapeutasmurcia.com/clinica_fisioterapia.asp","Las, C. las Norias, 1, 30009 Murcia, España","fisioterapeutas","Murcia",5,646
"Clínica de Fisioterapia El Carmen","info@fisioterapiaelcarmen.com","+34 603 05 81 01","https://fisioterapiaelcarmen.com/","C. del Rosal, 5, 30002 Murcia, España","fisioterapeutas","Murcia",4.8,339
"Pizzería La Távola","","+34 868 07 92 92","/url?q=https://www.latavolapizzeria.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIkwQoDw&usg=AOvVaw1lb4-ju9WQS3ynKIU1-3d2","Av. Marqués de Los Vélez, 50, 30007 Murcia, España","pizzerías","Murcia",4.6,526
"La Tarantella","","+34 868 04 67 98","","C. Madre Elisea Oliver Molina, 1, 30002 Murcia, España","pizzerías","Murcia",4.6,448
"Pizzería Alemana","","+34 968 23 52 05","","C. Torre de la Marquesa, 10, 30008 Murcia, España","pizzerías","Murcia",4.6,191
"Fisioterapia Thorax Murcia","","+34 623 02 93 18","https://www.fisioterapiathorax.com/","C. Almte. Malaspina, 1, 30007 Murcia, España","fisioterapeutas","Murcia",4.9,809
"Infraganti Pizza Bar | Pizzería Murcia Centro","","+34 868 00 70 06","/url?q=https://infragantipizza.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gImQUoDw&usg=AOvVaw2ezquA7eLetdgJUyYuwHYI","C. Apóstoles, 20, 30001 Murcia, España","pizzerías","Murcia",4.6,769
"Fisioterapia Osteopatía y Pilates Murcia | DENUEVO Siéntete bien","info@denuevo.com.es","+34 690 15 65 87","https://denuevo.com.es/","Calle Miguel de Unamuno, 4, Calle Ortega y Gasset, 1, 30009 Murcia, España","fisioterapeutas","Murcia",4.9,293
"FISIOTERAPIA MESEGUER","contacto@fisioterapiameseguer.com","+34 968 90 92 12","http://www.fisioterapiameseguer.com/","C. Periodista Antonio Herrero, nº3, bajo, 30007 Murcia, España","fisioterapeutas","Murcia",5,46
"La Pierotti Pizzería | Ronda de Levante","","+34 968 94 09 66","/url?q=https://lapierottipizzeria.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIxwUoDw&usg=AOvVaw1KuZjv4dFWvg8Csv29B8gX","Rda. de Levante, 8, 30008 Murcia, España","pizzerías","Murcia",4.8,129
"El Rincón de la pizza Murcia","","+34 868 78 38 96","","Av. de Santiago, 58, 30007 Santiago y Zaraíche, Murcia, España","pizzerías","Murcia",4.8,88
"Centro Avance Fisioterapia y Pilates Reformer","info@centroavance.es","+34 968 23 99 00","https://www.centroavance.es/","C. Parroco Jose Maria Belando, 5, 30007 Santiago y Zaraíche, Murcia, España","fisioterapeutas","Murcia",4.9,99
"AC Fisioterapia y Osteopatia Murcia","info@acfisioterapiamurcia.com","+34 653 18 54 26","http://acfisioterapiamurcia.com/","Calle Ortega y Gasset, 8, 30009 Murcia, España","fisioterapeutas","Murcia",5,109
"MiFisio Clínica de Fisioterapia Murcia | Azahara Inés Castaño Ibáñez | Ramón Manzano Mirón","","+34 868 05 86 24","","C. Parroco Jose Maria Belando, 16, 30007 Santiago y Zaraíche, Murcia, España","fisioterapeutas","Murcia",5,250
"La Cattedrale","","+34 968 71 73 06","/url?q=http://lacattedrale.es/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIlAYoEQ&usg=AOvVaw38OoUEn9FXKVw_dUqVF1Pr","esquina, Calle Frenería, C. Polo de Medina, 2, 30004 Murcia, España","pizzerías","Murcia",4.2,283
"Tierra Mía","","+34 605 85 32 33","/url?q=https://mitierramia.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIvgYoDw&usg=AOvVaw2zL6TfSycmj4vglSplgOvB","C. Sociedad, 5, 30004 Murcia, España","pizzerías","Murcia",4.3,1082
"Fisioterapia y Osteopatía Casado Meseguer","","+34 659 78 07 04","http://www.casadomeseguer.es/","C. de la Gloria, 14, 30003 Murcia, España","fisioterapeutas","Murcia",4.6,69
"La pizzería Ronda Sur","","+34 868 16 75 63","/url?q=http://www.pizzerialapizzeria.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gI6gYoEQ&usg=AOvVaw3lTXVxnA6Cb4eLYzbzQEU4","C. Pedáneo José Sánchez Mompeán, 8, 30010 San Benito - Patiño, Murcia, España","pizzerías","Murcia",4.3,267
"Fisioterapia Osteopatía y Pilates Murcia Infante | DENUEVO Siéntete bien","info@denuevo.com.es","+34 604 89 60 84","https://www.denuevo.com.es/","Av. Infante Juan Manuel, 2, 30011 Murcia, España","fisioterapeutas","Murcia",5,102
"Fisioterapia Marta Ramírez","info@fisioterapiamartaramirez.com","+34 611 67 80 11","https://fisioterapiamartaramirez.com/","C. San Rafael, 2, escalera 3, 4ºG, 30007 Santiago y Zaraíche, Murcia, España","fisioterapeutas","Murcia",5,195
"David López Fisioterapia","davidfisioterapia@gmail.com","+34 616 41 97 61","https://www.davidlopezfisioterapia.com/","Pl. Artesanos del Belen, 2, 30006 Puente Tocinos, Murcia, España","fisioterapeutas","Murcia",4.9,221
"Dynamics | Clínica de fisioterapia en Murcia","dynamics.salud@gmail.com","+34 722 41 20 28","https://dynamicsalud.es/","Pl. Triangular, 2, 30009 Murcia, España","fisioterapeutas","Murcia",5,384
"Clínica de Fisioterapia y Osteopatía SAGA","","+34 640 87 53 27","https://www.clinicafisiosaga.com/","La Flota, Calle Ing. Bryant, 24, bajo i, 30007 Murcia, España","fisioterapeutas","Murcia",5,117
"PLENO. Salud en Movimiento","peacefulqode@gmail.com","+34 688 70 16 65","https://www.plenosaludenmovimiento.es/#home","C. Navegante Juan Fernández, 14, 30007 Murcia, España","fisioterapeutas","Murcia",5,187
"La Pierotti Pizzería | Juan Carlos I","","+34 868 07 90 94","/url?q=https://lapierottipizzeria.com/&opi=79508299&sa=U&ved=0ahUKEwiUqv-L9amRAxViafUHHTa5Bz8Q61gIlgcoDw&usg=AOvVaw22hcXGdg-lqxPoAkYM6Lwx","Av. Juan Carlos I, 10, 30008 Murcia, España","pizzerías","Murcia",4.1,1169
"SyG FISIOTERAPIA Y OSTEOPATÍA","","+34 613 54 56 13","http://www.sygfisioterapia.es/","C. La Flota, 1, Bajo, 30008 Murcia, España","fisioterapeutas","Murcia",5,112
"Clínica fisioterapia Fisio Sport Murcia","info@fisiosportmurcia.es","+34 608 22 23 57","https://www.fisiosportmurcia.es/","Av. Don Juan de Borbon, 35, 30007 Murcia, España","fisioterapeutas","Murcia",4.8,142
"Steakburger | Hamburguesería Murcia","","+34 919 33 28 33","http://www.steakburger.es/?utm_source=gmb&utm_medium=gmb&utm_id=web","Gran Vía Alfonso X el Sabio, 14b, 30008 Murcia, España","hamburgueserías","Murcia",4.6,2793
"Proper Burger","info@properburgermurcia.com","+34 611 77 31 27","https://properburgermurcia.com/","C. Victorio, 14, 30003 Murcia, España","hamburgueserías","Murcia",4.8,522
"Clínica FisioActif Murcia","","+34 621 19 33 17","https://www.clinicafisioactif.com/","C. Don Alfonso Palazón Clemares, 10, bajo, 30009 Murcia, España","fisioterapeutas","Murcia",5,78
"Aires Burger Bar","","+34 968 64 90 30","https://airesburgerbar.com/murcia-santodomingo/","C. Sta. Ana, 1, 30008 Murcia, España","hamburgueserías","Murcia",4.7,5003
"Söma Salud y Bienestar","info@somasaludybienestar.es","+34 633 20 62 07","http://www.somasaludybienestar.es/","Calle Dr. Alonso de Espejo, 10, 30007 Murcia, España","fisioterapeutas","Murcia",4.9,190
"Impala Burger","impalaburger@gmail.com","+34 623 21 64 20","https://impalamurcia.com/","C. San José, 3, 30003 Murcia, España","hamburgueserías","Murcia",4.8,848
"Vaxto","","+34 679 83 80 19","https://vaxtocrazyfood.es/","Pl. de los Apostoles, 5, 30001 Murcia, España","hamburgueserías","Murcia",4.8,4613
